Identyfikator problemu,Opis,Stan,Ważność,Punkty scenariusza,Ścieżka projektu,Rodzaj lokalizacji,ŚCIEŻKA,Wiersz,Kolumna,Identyfikator zdarzenia,Link pomocy,Nazwa zestawu,Wersja zestawu,Klucz publiczny zestawu,Fragment kodu
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,126,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.checkBox7);
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,125,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,125,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,125,12,F:System.Windows.Forms.AutoScaleMode.Font,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,125,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,125,12,P:System.Windows.Forms.ContainerControl.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,124,12,P:System.Windows.Forms.ContainerControl.AutoScaleDimensions,,,,,"this.AutoScaleDimensions = new System.Drawing.SizeF(6F, 13F);"
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,120,12,T:System.Windows.Forms.CheckBox,,,,,this.checkBox7.UseVisualStyleBackColor = true;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,120,12,P:System.Windows.Forms.ButtonBase.UseVisualStyleBackColor,,,,,this.checkBox7.UseVisualStyleBackColor = true;
Api.0001,Plik binarny jest niezgodny dla wybranej wersji platformy .NET,Active,Mandatory,1,Simulator\DNP3\DefaultOutstationPlugin\DefaultOutstationPlugin.csproj,File,Simulator\DNP3\DefaultOutstationPlugin\GUI\QualitySelector.Designer.cs,119,12,T:System.Windows.Forms.CheckBox,,,,,"this.checkBox7.Text = ""checkBox7"";"
